species,data,plot,sex,weight_g,notes
DM,16/07/2013,2,F,NA,
DM,16/07/2013,7,M,33,
DM,16/07/2013,3,M,NA,
DM,16/07/2013,1,M,NA,
DM,18/07/2013,3,M,40,
DM,18/07/2013,7,M,48,
DM,18/07/2013,4,F,29,
DM,18/07/2013,4,F,46,
DM,18/07/2013,7,M,36,
DM,18/07/2013,7,F,35,
DM,18/07/2013,8,F,22,
DM,18/07/2013,7,F,42,
DM,18/07/2013,4,F,41,
DM,18/07/2013,6,F,37,
DO,19/08/2013,8,F,52,
DO,17/10/2013,3,F,33,
DO,17/10/2013,3,F,50,
DO,17/10/2013,17,F,48,
DO,17/10/2013,17,F,31,
DO,18/10/2013,8,F,41,
DO,12/11/2013,1,F,44,
DO,12/11/2013,1,M,48,
DO,14/11/2013,8,F,39,
DO,10/12/2013,9,F,40,
DO,11/12/2013,1,M,45,
DO,11/12/2013,8,F,41,
DS,12/11/2013,9,F,117,
DS,12/11/2013,1,F,121,
DS,12/11/2013,20,M,115,
DS,12/11/2013,9,F,120,
DS,13/11/2013,17,F,118,
DS,13/11/2013,11,F,126,
DS,13/11/2013,17,M,132,scale_not_calibr
DS,13/11/2013,14,F,113,scale_not_calibr
DS,13/11/2013,11,F,122,
DS,13/11/2013,4,F,107,
DS,13/11/2013,4,F,115,
